,question,answer,dummies
0,What is the capital of France?,Paris,London|Berlin|Madrid
1,"What is the answer to life, the universe, and everything?",43,Family|Love|Health
2,What is the chemical symbol for water?,H2O,CO2|NaCl|O2
3,What is the largest planet in our solar system?,Jupiter,Saturn|Mars|Neptune
4,What is the tallest mammal on Earth?,Giraffe,Elephant|Hippo|Rhino
6,"What is the answer to life, the universe, and everything?",42,Family|Love|Health
7,"What is the answer to life, the universe, and everything?",42,Family|Love|Health
8,"What is the answer to life, the universe, and everything?",42,Family|Love|Health
9,"What is the answer to life, the universe, and everything?",42,Family|Love|Health
10,"What is the answer to life, the universe, and everything?",42,Family|Love|Health
11,"What is the answer to life, the universe, and everything?",42,Family|Love|Health
12,"What is the answer to life, the universe, and everything?",42,Family|Love|Health
13,"What is the answer to life, the universe, and everything?",42,Family|Love|Health
14,"What is the answer to life, the universe, and everything?",42,Family|Love|Health
15,"What is the answer to life, the universe, and everything?",42,Family|Love|Health
16,"What is the answer to life, the universe, and everything?",42,Family|Love|Health
17,"What is the answer to life, the universe, and everything?",42,Family|Love|Health
18,"What is the answer to life, the universe, and everything?",42,Family|Love|Health
19,"What is the answer to life, the universe, and everything?",42,Family|Love|Health
